Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,0,5,0.22458704196276544,0.8696,4.992322456813819,0.38849672484516456,0.012889005903503597,0.003077532684214707,0.1277026017203313,0.05443410975050605,nan,nan,nan,nan,nan,nan,20.099790852059275,
distributed,1,0,7,0.22397274487285102,0.871,6.983249581239531,0.5360200265867958,0.013094033113938985,0.0026891228034029466,0.14144197944713247,0.05372596780464555,nan,nan,nan,nan,nan,nan,19.980328030821155,
distributed,1,0,10,0.22313993736247326,0.8732,9.988621997471554,0.9999218719480037,0.013574659717392934,0.0023196276456352305,0.11703293423762773,0.05906529741655338,nan,nan,nan,nan,nan,nan,20.05851562311518,
distributed,1,0,20,0.22290055717299967,0.8733,19.90835850956697,0.98,0.013313807267962103,0.0012919594431284554,0.1336666877535192,0.04625441544797069,nan,nan,nan,nan,nan,nan,19.905656494139304,
distributed,1,0,30,0.22244053803746747,0.8748,29.974583698510077,4.583795027848726,0.013119613039513487,0.0012815775914766226,0.13308952249659883,0.054319107505927444,nan,nan,nan,nan,nan,nan,20.09883758971411,
distributed,1,0,50,0.22233098423987438,0.8755,49.57632398753894,3.0769230769230766,0.013138530837377897,0.0006581981115303925,0.11798963721234033,0.048434197480660995,nan,nan,nan,nan,nan,nan,19.94358752997225,
distributed,1,0,70,0.22231519788768672,0.8748,69.58999253174011,13.294641777799054,0.013128048065927466,0.000888928333175114,0.1200230348505199,0.02945982615577814,nan,nan,nan,nan,nan,nan,19.976883796162564,
distributed,1,0,100,0.22229861853132976,0.8755,99.02890173410404,4.120630029101703,0.012958388489330555,0.0006928755743058894,0.14229601123580046,0.05441366028879429,nan,nan,nan,nan,nan,nan,19.93485450474625,
distributed,1,1,-1,0.24346439924055116,0.8511,96.24759793052476,36.41276250652237,0.012826172491930687,0.0016626664868808496,0.1382682536815992,0.05055325668120084,6.0080853904477785,3.5517273079432914,1.5050753313417906,0.17985164520803493,0.6906570985609872,0.4034473038685549,19.993958029221655,
distributed,1,1,1,0.2394295458410321,0.8504,1.0,0.0,0.012737870016865887,0.007267926417808754,0.13444343857638344,0.052882359481436915,nan,nan,nan,nan,nan,nan,20.163839277275166,
distributed,1,1,2,0.23052795093768297,0.8589,1.9961089494163424,0.0877031666587966,0.012735438696302817,0.0046796520640177116,0.13022163541344217,0.05177641572339601,nan,nan,nan,nan,nan,nan,20.082848052155175,
distributed,1,1,3,0.2275706497250061,0.8646,2.994413407821229,0.1818118685772619,0.01284651086807983,0.004128962389534631,0.1283505003528657,0.048578948797200545,nan,nan,nan,nan,nan,nan,20.017888872312422,
distributed,1,1,5,0.2263518133509227,0.8665,4.991769547325103,0.40199419599167774,0.012810573680359642,0.0033171117479863835,0.14100338012452526,0.051890240071635126,nan,nan,nan,nan,nan,nan,20.040539727001935,
distributed,1,1,7,0.22640842997896424,0.8652,6.99016393442623,0.6359576627106011,0.013390508103150667,0.0031016245095633003,0.13605471694927465,0.050422950966428515,nan,nan,nan,nan,nan,nan,20.049180866093575,
distributed,1,1,10,0.226300362343349,0.8663,9.96774193548387,0.5624977171405207,0.012812421998943252,0.0017919805761400533,0.12805211357313537,0.055561488756270046,nan,nan,nan,nan,nan,nan,19.922194526692152,
distributed,1,1,20,0.2294778175198406,0.8642,19.981390793339862,2.6093680796598875,0.012872227889434078,0.0014353599711919485,0.133449776452294,0.06306149161064775,nan,nan,nan,nan,nan,nan,20.025458900624745,
distributed,1,1,30,0.2316923135177893,0.862,29.91080617495712,0.6322475900481002,0.012858520776034985,0.0011032781727425699,0.13064284330260784,0.055584708045463484,nan,nan,nan,nan,nan,nan,20.083533756962527,
distributed,1,1,50,0.23449919059686997,0.8598,49.962336664104534,9.253776154298016,0.013312018948911755,0.00281936961613648,0.1252268001496511,0.05151326945907983,nan,nan,nan,nan,nan,nan,20.028338710151683,
distributed,1,1,70,0.2374792081271686,0.8573,69.09677419354838,6.252312591544209,0.013086423293830562,0.0006964227673906668,0.14946063484586877,0.05324871688768915,nan,nan,nan,nan,nan,nan,19.893494529646215,
distributed,1,1,100,0.24108621649116663,0.8539,98.29588014981273,16.74005949322566,0.013478795370752234,0.0005906884998533785,0.13761336812924155,0.05285256678446395,nan,nan,nan,nan,nan,nan,19.91649133166483,
distributed,1,2,-1,0.22354282208681747,0.8716,97.51708766716196,38.10702466369847,0.01304152307644628,0.0008688719807920134,0.13919721040026334,0.03688294765905118,1e-05,0.0,5.064181518964889e-17,2.483236670330227e-17,0.0,0.0,19.88613712828786,
distributed,1,2,1,0.240913223004553,0.8506,1.0,0.0,0.013013857096988697,0.006309659617880481,0.14001467693602918,0.05761972455786953,nan,nan,nan,nan,nan,nan,20.19976649235837,
distributed,1,2,2,0.23141979857768608,0.8623,1.9961089494163424,0.0877031666587966,0.01280124600768278,0.004937581466817006,0.13087195911511454,0.055752695751099084,nan,nan,nan,nan,nan,nan,20.15334253203794,
distributed,1,2,3,0.2282389430265158,0.8634,2.9939577039274923,0.18897456723786515,0.013223270327330491,0.003606308691446994,0.1414485371303308,0.05298185439206244,nan,nan,nan,nan,nan,nan,20.075628691141542,
distributed,1,2,5,0.22482395965039004,0.8698,4.992322456813819,0.38849672484516456,0.012369019429506554,0.0031574309718483415,0.12995972694231042,0.054679847809892615,nan,nan,nan,nan,nan,nan,20.089245187772455,
distributed,1,2,7,0.22546737194544175,0.8677,6.990461049284579,0.1048220125784067,0.012639779768381067,0.0025199955463492767,0.132919687775335,0.05108493288728613,nan,nan,nan,nan,nan,nan,19.916533874607012,
distributed,1,2,10,0.22346375666266574,0.8726,9.988476312419975,1.006149972113299,0.013689019815807347,0.002080095003510633,0.11979249197928675,0.04691194212634014,nan,nan,nan,nan,nan,nan,20.123476491242076,
distributed,1,2,20,0.22394088023101366,0.8728,19.949852507374633,0.4159451654038515,0.012996833224493848,0.0014554694604242556,0.13396807841256234,0.059544635808601816,nan,nan,nan,nan,nan,nan,20.053668418771093,
distributed,1,2,30,0.22349464309380762,0.871,29.807486631016044,2.881308566983367,0.01294702510405891,0.0011954744151088444,0.14002974417202035,0.05841456079596224,nan,nan,nan,nan,nan,nan,19.887215977552817,
distributed,1,2,50,0.22319702412219092,0.872,49.92604006163328,0.38461538461538464,0.012863434551823495,0.0009330884323863882,0.1299994446808323,0.03973856721347621,nan,nan,nan,nan,nan,nan,20.076342745214887,
distributed,1,2,70,0.22278140787687212,0.8729,69.30563798219585,11.33313725320575,0.012868061178867305,0.0008739275726737205,0.13503131605392418,0.03740471790063707,nan,nan,nan,nan,nan,nan,20.031668297446856,
distributed,1,2,100,0.2228688352658814,0.8729,98.34133533383346,17.25513824686338,0.013277436812337104,0.000682468669994536,0.14480270069564666,0.04771998052222328,nan,nan,nan,nan,nan,nan,19.81971339446043,
distributed,1,3,-1,0.28979096665344667,0.8031,51.828298887122415,17.60667197283983,0.013626971525752513,0.0019610055848252256,0.12592020416422853,0.04478028236777399,18.042712595082545,5.81616514730945,3.370087721778764,0.29995052221044743,1.3163023063154966,0.6263239697226975,20.03117755920016,
distributed,1,3,1,0.2387108733906534,0.8513,1.0,0.0,0.011736563818737963,0.006831152472867254,0.12808644489188806,0.06334324485316721,nan,nan,nan,nan,nan,nan,19.99469024561953,
distributed,1,3,2,0.23272183324497359,0.8582,1.99601593625498,0.08873285624999165,0.013126043683966875,0.005123964391747237,0.13318023710849114,0.05324422689535058,nan,nan,nan,nan,nan,nan,20.084365454338737,
distributed,1,3,3,0.23237103568547754,0.8601,2.9939024390243905,0.18982375470746454,0.013604237662377816,0.003910049197193365,0.14164418853375718,0.04824602052905967,nan,nan,nan,nan,nan,nan,20.04300474907918,
distributed,1,3,5,0.23380002610091197,0.8591,4.992395437262357,0.3866773873947018,0.012724400937523037,0.0027832645370877707,0.12624792771801774,0.054266579551743514,nan,nan,nan,nan,nan,nan,20.05164110685363,
distributed,1,3,7,0.23836035875154496,0.8536,6.990384615384615,0.6289320754704403,0.013233713861509316,0.0028122499373315906,0.13399779277419957,0.04925199704157346,nan,nan,nan,nan,nan,nan,20.24813189534935,
distributed,1,3,10,0.24515600461116646,0.8466,9.988015978695072,1.0255563992184142,0.013269265244411682,0.002226202294095098,0.13200717138705095,0.058769453871171384,nan,nan,nan,nan,nan,nan,19.998439271395554,
distributed,1,3,20,0.26251063641005834,0.8261,19.98174831892411,2.585112235238332,0.012749685166264511,0.0014448317157617157,0.12440113228524953,0.05496148279415364,nan,nan,nan,nan,nan,nan,19.941552578082593,
distributed,1,3,30,0.2736426157515614,0.8189,29.97523484201537,4.5276235488388386,0.013294031704878143,0.0020605671789368637,0.11743697382250681,0.048201523541876165,nan,nan,nan,nan,nan,nan,19.956870368083667,
distributed,1,3,50,0.28571478320829036,0.8082,49.797856049004594,8.309513281410464,0.012642043361303522,0.0008667853235815421,0.1283561453481631,0.05471132556827134,nan,nan,nan,nan,nan,nan,19.99115165063568,
distributed,1,3,70,0.3045015234141048,0.7884,69.89759036144578,0.4465937565388721,0.013103677244891985,0.0008438576658668864,0.13421424162404064,0.05612432700974894,nan,nan,nan,nan,nan,nan,19.953370678573847,
distributed,1,3,100,0.31194662644219223,0.7821,98.46715328467154,7.726181304565691,0.01289996952083326,0.0007749226093857968,0.1574812245090052,0.05372143322475861,nan,nan,nan,nan,nan,nan,19.903533260132928,
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.2251027955975204,0.8694,5.076109936575053,1.746518190214953,0.013198379929451172,0.0038093473295274577,0.1285618569169103,0.05197216028906566,12.270365233866924,4.065852732309662,0.5401489641695776,0.09454526126773488,0.28557853699967567,0.11793768159938776,20.160764043897096,
distributed,0,0,1,0.23899572690720883,0.8525,1.0,0.0,0.013876373830589777,0.007283720601865948,0.12956472950924552,0.05385816633265896,nan,nan,nan,nan,nan,nan,20.08175446757694,
distributed,0,0,2,0.23066958262026233,0.8613,1.9959183673469387,0.0897996830665631,0.013815697133212143,0.0047527835155661835,0.13529439396282306,0.05540338066875676,nan,nan,nan,nan,nan,nan,20.013964219201352,
distributed,0,0,3,0.22687306555171516,0.8662,2.994459833795014,0.18106530826617062,0.01364729073948998,0.003882297326151759,0.1248339713238226,0.05397420391125799,nan,nan,nan,nan,nan,nan,20.020935960737138,
